#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Nov 02 17:14:28 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainPage1_map.ncd
#OUTPUT FILE:      MainPage1_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P24,,DIFFM,IO_L08P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P25,,DIFFS,IO_L08N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
P26,,IBUF,IP,UNUSED,,3,,,,,,,,,
P27,,,GND,,,,,,,,,,,,
P28,,DIFFM,IO_L09P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
P29,,DIFFS,IO_L09N_3/LHCLK5,UNUSED,,3,,,,,,,,,
P30,,DIFFM,IO_L10P_3/LHCLK6,UNUSED,,3,,,,,,,,,
P31,,DIFFS,IO_L10N_3/LHCLK7,UNUSED,,3,,,,,,,,,
P32,,IBUF,IP,UNUSED,,3,,,,,,,,,
P33,,DIFFM,IO_L11P_3,UNUSED,,3,,,,,,,,,
P34,,DIFFS,IO_L11N_3,UNUSED,,3,,,,,,,,,
P35,,DIFFM,IO_L12P_3,UNUSED,,3,,,,,,,,,
P36,,DIFFS,IO_L12N_3,UNUSED,,3,,,,,,,,,
P37,,,GND,,,,,,,,,,,,
P38,,,VCCO_3,,,3,,,,,3.30,,,,
P39,,DIFFM,IO_L13P_3,UNUSED,,3,,,,,,,,,
P40,,DIFFS,IO_L13N_3,UNUSED,,3,,,,,,,,,
P41,,DIFFM,IO_L14P_3,UNUSED,,3,,,,,,,,,
P42,,DIFFS,IO_L14N_3,UNUSED,,3,,,,,,,,,
P43,T_5MIN_sinhro,IBUF,IP,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P44,,,VCCAUX,,,,,,,,2.5,,,,
P45,,IOB,IO/VREF_3,UNUSED,,3,,,,,,,,,
P46,,,VCCO_3,,,3,,,,,3.30,,,,
P47,MOSI_BF,IBUF,IO_L15P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P48,MISO_BF,IOB,IO_L15N_3,TRISTATE,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P49,CS_SPI_BF,IOB,IO_L16P_3,OUTPUT,LVCMOS33,3,2,SLOW,PULLUP,,,LOCATED,YES,NONE,
P50,CLK_SPI_BF,IBUF,IO_L16N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P51,,IBUF,IP,UNUSED,,3,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,,,GND,,,,,,,,,,,,
P54,,IBUF,IP,UNUSED,,2,,,,,,,,,
P55,Re_485,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P56,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
P57,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
P58,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
P59,,,VCCO_2,,,2,,,,,3.30,,,,
P60,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
P61,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P62,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,
P63,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,
P64,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,
P65,led4,IOB,IO_L05N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P66,,,VCCAUX,,,,,,,,2.5,,,,
P67,,,VCCINT,,,,,,,,1.2,,,,
P68,RTS_485,IOB,IO_L06P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P69,,DIFFS,IO_L06N_2,UNUSED,,2,,,,,,,,,
P70,,,GND,,,,,,,,,,,,
P71,,DIFFMI,IP_L07P_2,UNUSED,,2,,,,,,,,,
P72,RX_485_mg,IBUF,IP_L07N_2/VREF_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P73,,,VCCO_2,,,2,,,,,3.30,,,,
P74,RX_DSP,IOB,IO_L08P_2/D7/GCLK12,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P75,TX_DSP,IBUF,IO_L08N_2/D6/GCLK13,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P76,TX_485_mg,IOB,IO/D5,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P77,RX_FTDI_1,IOB,IO_L09P_2/D4/GCLK14,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P78,TX_FTDI_1,IBUF,IO_L09N_2/D3/GCLK15,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P79,,,GND,,,,,,,,,,,,
P80,,DIFFMI,IP_L10P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P81,,DIFFSI,IP_L10N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P82,pwm1,IOB,IO_L11P_2/D2/GCLK2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P83,pwm2,IOB,IO_L11N_2/D1/GCLK3,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P84,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P85,,,GND,,,,,,,,,,,,
P86,,DIFFM,IO_L12P_2/M0,UNUSED,,2,,,,,,,,,
P87,,DIFFS,IO_L12N_2/DIN/D0,UNUSED,,2,,,,,,,,,
P88,,,VCCO_2,,,2,,,,,3.30,,,,
P89,TSCLK,IBUF,IO_L13P_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P90,DR0PRI,IOB,IO_L13N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P91,,IBUF,IP,UNUSED,,2,,,,,,,,,
P92,,,VCCAUX,,,,,,,,2.5,,,,
P93,RZV4,IOB,IO_L14P_2/A23,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P94,,DIFFS,IO_L14N_2/A22,UNUSED,,2,,,,,,,,,
P95,,,GND,,,,,,,,,,,,
P96,T_TEST2,IOB,IO_L15P_2/A21,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P97,ENABLE_BUS_IN,IOB,IO_L15N_2/A20,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P98,wd_supervisor,IOB,IO/VREF_2,OUTPUT,LVCMOS33,2,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,led3,IOB,IO_L16P_2/VS2/A19,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P100,led2,IOB,IO_L16N_2/VS1/A18,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P101,,IBUF,IP,UNUSED,,2,,,,,,,,,
P102,led1,IOB,IO_L17P_2/VS0/A17,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P103,,DIFFS,IO_L17N_2/CCLK,UNUSED,,2,,,,,,,,,
P104,,,DONE,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,reset_mk,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P107,,DIFFS,IO_L01N_1/A15,UNUSED,,1,,,,,,,,,
P108,t1_4,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P109,,DIFFS,IO_L02N_1/A13,UNUSED,,1,,,,,,,,,
P110,TKONTR2,IBUF,IP,INPUT,LVCMOS33,1,,,,IFD,,LOCATED,YES,NONE,
P111,,,VCCAUX,,,,,,,,2.5,,,,
P112,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,
P113,TFS0,IBUF,IO_L03N_1/VREF_1,INPUT,LVCMOS33,1,,,,IFD,,LOCATED,YES,NONE,
P114,,,VCCO_1,,,1,,,,,3.30,,,,
P115,RSCLK0,IOB,IO_L04P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P116,,DIFFS,IO_L04N_1,UNUSED,,1,,,,,,,,,
P117,,,VCCINT,,,,,,,,1.2,,,,
P118,,IBUF,IP,UNUSED,,1,,,,,,,,,
P119,TOBM,IOB,IO_L05P_1/A12,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P120,Tnc,IOB,IO_L05N_1/A11,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P121,,,GND,,,,,,,,,,,,
P122,Tno,IOB,IO_L06P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P123,,DIFFS,IO_L06N_1/VREF_1,UNUSED,,1,,,,,,,,,
P124,,IBUF,IP,UNUSED,,1,,,,,,,,,
P125,,,VCCO_1,,,1,,,,,3.30,,,,
P126,,DIFFM,IO_L07P_1/A10/RHCLK0,UNUSED,,1,,,,,,,,,
P127,,DIFFS,IO_L07N_1/A9/RHCLK1,UNUSED,,1,,,,,,,,,
P128,T_TEST1,IOB,IO_L08P_1/A8/RHCLK2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P129,,DIFFS,IO_L08N_1/A7/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
P130,,IBUF,IP,UNUSED,,1,,,,,,,,,
P131,,,GND,,,,,,,,,,,,
P132,BUS_ADDR<7>,IOB,IO_L09P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P133,BUS_ADDR<6>,IOB,IO_L09N_1/A5/RHCLK5,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P134,BUS_ADDR<5>,IOB,IO_L10P_1/A4/RHCLK6,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P135,BUS_ADDR<4>,IOB,IO_L10N_1/A3/RHCLK7,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P136,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P137,BUS_ADDR<3>,IOB,IO_L11P_1/A2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P138,BUS_ADDR<2>,IOB,IO_L11N_1/A1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P139,BUS_ADDR<1>,IOB,IO_L12P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P140,BUS_ADDR<0>,IOB,IO_L12N_1/A0,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P141,,,GND,,,,,,,,,,,,
P142,,IBUF,IP,UNUSED,,1,,,,,,,,,
P143,,,VCCO_1,,,1,,,,,3.30,,,,
P144,ENABLE_BUS_OUT,IOB,IO_L13P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P145,BUS_RD,IOB,IO_L13N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P146,BUS_WR,IOB,IO_L14P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P147,clk8_spi,IOB,IO_L14N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P148,bus_int1,IBUF,IP,INPUT,LVCMOS33,1,,,,IFD,,LOCATED,YES,NONE,
P149,,,VCCAUX,,,,,,,,2.5,,,,
P150,Tkp,IOB,IO_L15P_1/HDC,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P151,Tnp,IOB,IO_L15N_1/LDC0,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P152,Tki,IOB,IO_L16P_1/LDC1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P153,Tni,IOB,IO_L16N_1/LDC2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P154,,IBUF,IP,UNUSED,,1,,,,,,,,,
P155,,,TMS,,,,,,,,,,,,
P156,,,GND,,,,,,,,,,,,
P157,,,TDO,,,,,,,,,,,,
P158,,,TCK,,,,,,,,,,,,
P159,,IBUF,IP,UNUSED,,0,,,,,,,,,
P160,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
P161,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
P162,cs_ALE1,IOB,IO_L02P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P163,cs_ALE2,IOB,IO_L02N_0/VREF_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P164,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
P165,cs_ALE3,IOB,IO_L03N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P166,,,VCCAUX,,,,,,,,2.5,,,,
P167,bus_t,IOB,IO_L04P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P168,,DIFFS,IO_L04N_0/VREF_0,UNUSED,,0,,,,,,,,,
P169,,IBUF,IP,UNUSED,,0,,,,,,,,,
P170,,,VCCINT,,,,,,,,1.2,,,,
P171,ppi15,IOB,IO_L05P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P172,INT1_BfPPI14,IOB,IO_L05N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P173,,,GND,,,,,,,,,,,,
P174,,DIFFMI,IP_L06P_0,UNUSED,,0,,,,,,,,,
P175,,DIFFSI,IP_L06N_0,UNUSED,,0,,,,,,,,,
P176,,,VCCO_0,,,0,,,,,3.30,,,,
P177,data_ppi13,IBUF,IO_L07P_0/GCLK4,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P178,RFS0,IOB,IO_L07N_0/GCLK5,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P179,data_ppi12,IOB,IO/VREF_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P180,F20MHz,IBUF,IO_L08P_0/GCLK6,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P181,data_ppi9,IBUF,IO_L08N_0/GCLK7,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P182,,,GND,,,,,,,,,,,,
P183,,DIFFMI,IP_L09P_0/GCLK8,UNUSED,,0,,,,,,,,,
P184,data_ppi8,IBUF,IP_L09N_0/GCLK9,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P185,clk_ppi,IOB,IO_L10P_0/GCLK10,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P186,,DIFFS,IO_L10N_0/GCLK11,UNUSED,,0,,,,,,,,,
P187,fs1,IOB,IO,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P188,,,GND,,,,,,,,,,,,
P189,fs2,IOB,IO_L11P_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P190,fs3,IBUF,IO_L11N_0,INPUT,LVCMOS33,0,,,PULLUP,NONE,,LOCATED,NO,NONE,
P191,,,VCCO_0,,,0,,,,,3.30,,,,
P192,,DIFFM,IO_L12P_0,UNUSED,,0,,,,,,,,,
P193,data_ppi<7>,IBUF,IO_L12N_0/VREF_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P194,data_ppi11,IBUF,IP,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P195,,,VCCAUX,,,,,,,,2.5,,,,
P196,data_ppi<6>,IBUF,IO_L13P_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P197,data_ppi<5>,IBUF,IO_L13N_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P198,,,GND,,,,,,,,,,,,
P199,data_ppi<4>,IBUF,IO_L14P_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P200,data_ppi<3>,IBUF,IO_L14N_0/VREF_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P201,,,VCCO_0,,,0,,,,,3.30,,,,
P202,data_ppi<2>,IBUF,IO_L15P_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P203,data_ppi<1>,IBUF,IO_L15N_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P204,data_ppi10,IBUF,IP,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P205,data_ppi<0>,IBUF,IO_L16P_0,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
P206,,DIFFS,IO_L16N_0/HSWAP,UNUSED,,0,,,,,,,,,
P207,,,TDI,,,,,,,,,,,,
P208,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
